Pizza		
Végétarienne	Tomates fraîches, tapenade d'oilives, tomates séchées, oignons	9
Jambon Mozza	Blanc de volaille, base mozzarella, parmesan, tomates fraîches	10
Trois Fromages	Mozarella, chèvre, gorgonzola, tomates fraîches, sauce tomate	10
Régina	Jambon, champignons de Paris frais, mozarella, sauce tomate	11
Margarita	Fromage mozzarella, sauce tomate, olives, origan	12
Vésuvio	Chorizo, poivrons frais, oignons rouges, oeufs, mozzarella, sauce tomate	11
Merguez	Merguez boeuf et mouton, oignons rouges, dés de tomates	11
Desserts		
Café gourmand	Café déca ou thé Gauffre ou Moelleux au chocolat	5
Moelleux au chocolat	Moelleux au chocolat, ammandes grillées, tout juste sortie du four	7
Crousti poire caramel	Mini-pizza cuite à la minute, crème d'amandes, poire caramélisée	7
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d'oeufs	6.5
Glaces		
Coupe Antillaise	Rhum-raisins (3 boules), rhum (3cl)	3
Colonel Italien	Citron (3 boules), Grappa Piave (3cl)	3.2
Fresca coulis de fruits	Sorbets : citron, framboise, fruit de la passion, coulis de framboise	4.5